ALPHA_H;BETA;D_AGAP;R_ST_OUT;BRMS/A
1.4;0.1;1.5;7.5;0.051987952623644085
1.6;0.1;1.5;7.5;0.05905812325497006
1.8;0.1;1.5;7.5;0.05605549633172179
2.0;0.1;1.5;7.5;0.06342989031388582
1.4;0.2;1.5;7.5;0.0775100836177025
1.6;0.2;1.5;7.5;0.08366505204206255
1.8;0.2;1.5;7.5;0.08586510481276324
2.0;0.2;1.5;7.5;0.09014246289766709
1.4;0.3;1.5;7.5;0.09435854630857914
1.6;0.3;1.5;7.5;0.1000861938769805
1.8;0.3;1.5;7.5;0.10509766695438465
2.0;0.3;1.5;7.5;0.11146809763237779
1.4;0.4;1.5;7.5;0.10497301753331624
1.6;0.4;1.5;7.5;0.11250289148726506
1.8;0.4;1.5;7.5;0.11975449418175005
2.0;0.4;1.5;7.5;0.1255897090096392
1.4;0.5;1.5;7.5;0.1121325405449979
1.6;0.5;1.5;7.5;0.12082683367741351
1.8;0.5;1.5;7.5;0.12667301212521806
2.0;0.5;1.5;7.5;0.13245810477604245
1.4;0.1;2.0;7.5;0.053247633455699585
1.6;0.1;2.0;7.5;0.05627689334369209
1.8;0.1;2.0;7.5;0.060422706745582686
2.0;0.1;2.0;7.5;0.06068138393049396
1.4;0.2;2.0;7.5;0.07478557855244453
1.6;0.2;2.0;7.5;0.07874722262564834
1.8;0.2;2.0;7.5;0.08234296619582526
2.0;0.2;2.0;7.5;0.08496894629035624
1.4;0.3;2.0;7.5;0.0898235030510691
1.6;0.3;2.0;7.5;0.09570918340809431
1.8;0.3;2.0;7.5;0.10126918994885635
2.0;0.3;2.0;7.5;0.10521700558526659
1.4;0.4;2.0;7.5;0.09989116659207177
1.6;0.4;2.0;7.5;0.10583832419492253
1.8;0.4;2.0;7.5;0.11368831143206996
2.0;0.4;2.0;7.5;0.11884861781111183
1.4;0.5;2.0;7.5;0.10795574889828369
1.6;0.5;2.0;7.5;0.11403260565315908
1.8;0.5;2.0;7.5;0.12029485806654568
2.0;0.5;2.0;7.5;0.1267535738235828
1.4;0.1;2.5;7.5;0.05748946401562341
1.6;0.1;2.5;7.5;0.05727373440458494
1.8;0.1;2.5;7.5;0.06073476334038157
2.0;0.1;2.5;7.5;0.06582357569832588
1.4;0.2;2.5;7.5;0.07900895046205415
1.6;0.2;2.5;7.5;0.08466419084862006
1.8;0.2;2.5;7.5;0.0862087289532653
2.0;0.2;2.5;7.5;0.08862000988591726
1.4;0.3;2.5;7.5;0.09618409915999405
1.6;0.3;2.5;7.5;0.10411614273278579
1.8;0.3;2.5;7.5;0.10616859868018211
2.0;0.3;2.5;7.5;0.11000689093168198
1.4;0.4;2.5;7.5;0.10752346046102049
1.6;0.4;2.5;7.5;0.11342360820938424
1.8;0.4;2.5;7.5;0.12020901637920516
2.0;0.4;2.5;7.5;0.12420446521408793
1.4;0.5;2.5;7.5;0.11561048511032693
1.6;0.5;2.5;7.5;0.12143165963208
1.8;0.5;2.5;7.5;0.12718839810518648
2.0;0.5;2.5;7.5;0.13125250836303123
1.4;0.1;3.0;7.5;0.06708742109439694
1.6;0.1;3.0;7.5;0.07068133786595496
1.8;0.1;3.0;7.5;0.0695378646991936
2.0;0.1;3.0;7.5;0.06950166542838991
1.4;0.2;3.0;7.5;0.10176834625102534
1.6;0.2;3.0;7.5;0.10165531254685167
1.8;0.2;3.0;7.5;0.10640879977964375
2.0;0.2;3.0;7.5;0.10745560765550478
1.4;0.3;3.0;7.5;0.123033389328183
1.6;0.3;3.0;7.5;0.12712168441715624
1.8;0.3;3.0;7.5;0.13224455777787672
2.0;0.3;3.0;7.5;0.1351066841971645
1.4;0.4;3.0;7.5;0.13729404599915443
1.6;0.4;3.0;7.5;0.1425910127000877
1.8;0.4;3.0;7.5;0.1485352727005786
2.0;0.4;3.0;7.5;0.15410199970248653
1.4;0.5;3.0;7.5;0.14891374177846076
1.6;0.5;3.0;7.5;0.1558393894463203
1.8;0.5;3.0;7.5;0.16019039233831495
2.0;0.5;3.0;7.5;0.1660201515479803
